full_name;age;height_cm;weight_kgs;positions;nationality;potential;value_euro;finishing;short_passing;dribbling;freekick_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility
Gylfi Þór Sigurðsson;29;185.42;77.1;CAM;Iceland;82;22500000.0;77;85;80;86;80;85;58;55;68
Giuliano Victor de Paula;28;172.72;68.0;CAM,RW;Brazil;82;22500000.0;77;82;82;71;80;84;85;77;85
Péter Gulácsi;28;193.04;86.2;GK;Hungary;83;18000000.0;10;29;19;11;25;25;42;44;41
Luiz Gustavo Dias;31;187.96;78.0;CDM,CB;Brazil;82;16500000.0;48;79;68;60;76;73;63;62;65
Kieran Trippier;28;152.4;72.1;RB,RWB;England;82;18500000.0;48;79;75;83;78;81;76;75;74
Aaron Ramsey;28;182.88;76.2;CM,CDM,CAM;Wales;82;23000000.0;74;84;81;66;80;82;65;69;73
Mario  Barwuah Balotelli;28;187.96;88.0;ST;Italy;82;23500000.0;83;78;81;78;66;85;75;80;71
Marlos Romero Bonfim;30;175.26;68.9;RM;Ukraine;82;21000000.0;79;81;87;72;73;88;85;82;92
Taison Barcellos Freda;31;172.72;64.0;LM,CAM;Brazil;82;21000000.0;76;77;87;73;75;85;93;91;90
Giacomo Bonaventura;29;154.94;74.8;CM,LW;Italy;82;22000000.0;70;84;83;78;80;85;75;77;77
Geoffrey Kondogbia;26;187.96;79.8;CM,CDM;Central African Rep.;84;22000000.0;69;81;78;56;79;83;69;76;76
Jérôme Roussillon;26;175.26;79.8;LB,LWB,LM;France;83;18000000.0;64;77;79;56;70;79;87;85;77
Simone Zaza;27;185.42;83.9;ST;Italy;82;21000000.0;80;71;77;56;45;79;77;79;76
Šime Vrsaljko;27;154.94;76.2;RB;Croatia;81;15000000.0;44;77;74;57;70;79;78;79;67
Christoph Kramer;28;190.5;76.2;CDM,CM;Germany;82;17000000.0;46;80;71;51;72;81;52;52;66
Benjamin Mendy;24;185.42;84.8;LB;France;86;20000000.0;33;80;80;34;69;79;77;86;68
Marcel Sabitzer;24;152.4;77.1;CAM,CM;Austria;84;22500000.0;79;79;79;63;67;81;83;77;75
Matija Nastasić;25;187.96;83.0;CB;Serbia;84;18500000.0;30;73;43;68;69;65;65;77;65
Alassane Plea;25;154.94;78.9;ST,LW;France;83;22000000.0;82;76;78;74;68;79;78;77;79
Matthias Ginter;25;187.96;83.0;CB,CDM;Germany;83;18500000.0;55;77;62;42;71;72;55;69;55
Gerard Moreno Balagueró;26;154.94;77.1;ST;Spain;83;22000000.0;78;75;78;56;56;80;76;79;70
Abdoulaye Doucouré;26;182.88;76.2;CDM,CM;France;85;19500000.0;73;82;78;42;74;80;63;70;60
Raphaël Guerreiro;25;170.18;71.2;LM,LB,CM;Portugal;84;22500000.0;75;84;83;82;77;84;82;68;88
Ricardo Barbosa Pereira;25;175.26;69.9;RB,RM;Portugal;84;18500000.0;62;80;83;45;78;79;88;87;82
Samuel Castillejo Azuaga;24;182.88;67.1;RM,LM,CM;Spain;85;23000000.0;76;80;84;75;76;82;85;86;83
Julian Brandt;22;185.42;83.9;LM,RM,CAM;Germany;88;25000000.0;77;81;87;59;68;85;78;84;82
Nicolas Pépé;23;182.88;73.0;RM,RW,ST;Ivory Coast;88;22000000.0;80;72;85;65;63;81;90;91;90
Steven Bergwijn;21;152.4;78.0;LW,RW;Netherlands;86;20500000.0;74;76;87;66;53;84;88;89;79
André Onana;22;187.96;93.0;GK;Cameroon;85;14500000.0;12;33;26;17;26;38;64;62;68
Fabián Balbuena;27;187.96;84.8;CB;Paraguay;83;15500000.0;31;71;47;34;56;56;56;65;42
André Miguel Valente da Silva;23;185.42;78.9;ST;Portugal;87;21000000.0;83;69;77;33;58;80;77;78;77
Mikel Oyarzabal Ugarte;21;154.94;78.0;LW,LM,RW;Spain;87;21000000.0;78;80;84;71;73;85;72;75;70
Everton Jorge Andrade Zanon;35;152.4;74.8;CDM,CM;Brazil;80;4500000.0;58;78;75;73;75;77;69;68;78
Welington Kauê Dano Nascimento;31;152.4;68.9;LB,LM;Brazil;80;10500000.0;51;78;77;52;71;78;78;80;83
Richarlison de Andrade;21;154.94;71.2;ST,LW,LM;Brazil;86;21000000.0;79;75;84;65;59;80;83;86;78
Álvaro Odriozola Arzalluz;23;175.26;66.2;RB;Spain;88;18500000.0;45;77;69;30;70;77;80;82;78
Carlos Soler Barragán;22;154.94;76.2;RM,CM;Spain;87;21000000.0;74;84;80;82;77;82;75;77;75
Houssem Aouar;20;175.26;69.9;CM,LM;France;90;23500000.0;72;84;84;59;78;82;79;79;81
Tanguy NDombèlé Alvaro;22;154.94;76.2;CM,CDM;France;89;22500000.0;59;83;86;63;79;84;84;76;83
Maximiliano Gómez;22;185.42;83.9;ST;Uruguay;85;20500000.0;85;76;76;53;58;77;61;65;45
Joaquín Sánchez Rodríguez;37;152.4;74.8;LM,ST,RM;Spain;81;6000000.0;80;83;85;77;84;83;72;66;72
Jérémy Mathieu;35;187.96;83.9;CB;France;81;5500000.0;52;73;65;79;77;62;68;74;52
Joël Andre Job Matip;27;193.04;89.8;CB;Cameroon;82;15000000.0;36;77;65;22;74;69;55;69;55
Serge Aurier;26;175.26;76.2;RB,RWB;Ivory Coast;83;15500000.0;54;78;76;30;72;79;79;78;73
Josuha Guilavogui;28;187.96;77.1;CDM,CM;France;81;14000000.0;49;78;63;53;75;74;65;72;53
Alex Oxlade-Chamberlain;25;175.26;69.9;CM,RM;England;85;19500000.0;69;80;84;60;75;84;84;85;81
Mathew Ryan;26;182.88;82.1;GK;Australia;83;13000000.0;11;40;13;12;45;24;53;52;53
Vincent Paté Aboubakar;27;182.88;82.1;ST;Cameroon;81;17500000.0;80;75;81;67;68;80;76;83;72
Luis Fernando Muriel Fruto;27;152.4;78.9;ST;Colombia;81;17500000.0;78;75;85;60;55;83;86;89;85
Domagoj Vida;29;182.88;76.2;CB,RB;Croatia;80;11500000.0;41;66;53;35;60;66;70;80;64
Ibai Gómez Pérez;29;152.4;72.1;RM,RW,LM;Spain;80;15000000.0;79;77;82;81;78;81;79;77;79
Cristian Tello Herrera;27;152.4;64.9;LM,RM;Spain;80;16000000.0;74;77;82;72;70;81;92;89;82
Ismaily Gonçalves dos S.;29;152.4;82.1;LB;Brazil;80;11500000.0;60;81;83;50;67;81;84;80;72
Aïssa Mandi;27;182.88;78.0;CB;Algeria;83;15500000.0;41;79;66;49;75;74;67;68;78
Anton Ciprian Tătărușanu;33;195.57999999999998;86.2;GK;Romania;80;8500000.0;15;37;16;11;37;19;50;47;51
Jeison Fabián Murillo Cerón;26;182.88;78.0;CB;Colombia;84;16000000.0;37;68;58;26;62;64;75;76;77
Eric Dier;25;187.96;89.8;CDM,CB,CM;England;84;16500000.0;52;77;65;74;78;70;62;68;52
Jack Butland;25;195.57999999999998;94.8;GK;England;85;14000000.0;16;40;21;14;30;36;58;55;55
Stefano Sorrentino;39;185.42;84.8;GK;Italy;80;1000000.0;10;36;14;11;34;20;34;40;52
Wayne Mark Rooney;33;175.26;83.0;ST;England;80;12000000.0;80;81;74;83;82;80;65;65;66
Miguel Ángel Moyá Rumbo;34;187.96;83.0;GK;Spain;80;6000000.0;11;31;13;12;35;24;46;34;54
Lisandro López;36;175.26;72.1;ST;Argentina;80;7000000.0;85;72;78;73;70;80;77;83;84
Javier Alejandro Mascherano;34;175.26;73.0;CDM,CB;Argentina;80;4500000.0;42;79;58;50;75;80;69;62;72
Raffael Caetano de Araújo;33;175.26;68.9;CF,ST;Brazil;80;9500000.0;78;83;87;77;76;85;69;61;83
Diego López Rodríguez;37;195.57999999999998;88.9;GK;Spain;80;2000000.0;12;28;11;11;23;23;34;52;48
Juan Francisco Torres Belén;34;154.94;71.2;RB;Spain;80;5500000.0;54;77;75;59;66;78;74;83;74
Igor Denisov;34;175.26;69.9;CDM;Russia;80;4500000.0;61;82;73;54;74;78;67;65;77
Igor Akinfeev;32;185.42;78.0;GK;Russia;80;8500000.0;13;23;15;13;22;22;51;50;53
André-Pierre Gignac;33;187.96;91.2;ST;France;80;12000000.0;83;71;73;70;68;72;71;68;66
Andreas Granqvist;33;193.04;83.9;CB;Sweden;80;;51;73;49;40;67;63;46;49;55
Manuel Henrique Tavares Fernandes;33;175.26;74.8;LM,CAM;Portugal;80;11500000.0;70;80;86;70;72;83;83;76;82
Dante Bonfim da Costa Santos;35;187.96;84.8;CB;Brazil;80;4500000.0;47;74;57;55;76;74;38;41;52
Loïc Perrin;33;154.94;79.8;CB;France;80;8500000.0;55;74;62;51;77;73;59;60;63
Borja Valero Iglesias;34;175.26;73.0;CAM,CDM;Spain;80;9000000.0;67;89;82;76;85;86;55;52;72
Adnan Januzaj;24;185.42;76.2;RW,RM;Belgium;85;17500000.0;71;79;85;65;74;82;84;76;85
Jonas Hector;28;185.42;74.8;LB,CDM;Germany;79;10000000.0;55;78;74;65;74;77;75;77;67
Moanes Dabour;26;182.88;76.2;ST;Israel;81;15500000.0;82;73;76;66;63;77;74;76;77
Óliver Torres Muñoz;24;175.26;63.0;CM;Spain;84;16500000.0;66;82;84;64;78;83;72;65;78
Yassine Bounou;27;193.04;78.0;GK;Morocco;82;10500000.0;14;39;20;19;44;12;37;34;38
Jonas Hofmann;26;175.26;69.9;CAM,RM,LM;Germany;80;15000000.0;69;79;80;71;72;79;78;76;78
Otávio Edmilson da Silva Monteiro;24;172.72;71.2;RM,CAM,CM;Brazil;85;17500000.0;67;77;84;72;74;83;76;74;86
Jonathan Castro Otto;25;170.18;69.9;LWB;Spain;83;13500000.0;43;74;74;54;59;77;77;78;72
Leander Dendoncker;23;187.96;88.0;CDM,CB,CM;Belgium;85;14500000.0;66;79;69;71;78;74;61;68;59
Roman Zobnin;25;182.88;74.8;CDM,CM,LM;Russia;86;15000000.0;65;81;82;65;79;82;74;78;70
Ricardo Jorge da Luz Horta;24;172.72;63.0;LM;Portugal;84;17000000.0;74;76;80;70;69;81;78;75;85
Thiago Henrique Mendes Ribeiro;26;152.4;79.8;CDM,CM,RM;Brazil;83;13500000.0;63;82;78;77;81;81;74;82;78
Jefferson Andrés Lerma Solís;24;152.4;69.9;CDM,CM;Colombia;83;14000000.0;56;77;69;65;76;77;74;76;75
Jean-Philippe Gbamin;23;185.42;83.0;CDM,CM,CB;Ivory Coast;84;14500000.0;40;78;75;60;74;77;76;85;68
Iván Marcone;28;182.88;83.0;CDM;Argentina;80;11500000.0;48;80;69;60;83;73;54;34;60
Darío Benedetto;28;152.4;79.8;ST;Argentina;79;13000000.0;86;67;71;60;65;75;78;83;77
Marwin Hitz;31;193.04;88.9;GK;Switzerland;79;8000000.0;27;29;13;17;25;17;41;46;41
Nathaniel Edwin Clyne;27;175.26;67.1;RB;England;80;11500000.0;54;75;76;39;66;78;77;78;79
Adem Ljajić;27;182.88;73.9;CAM,LW;Serbia;80;15000000.0;69;78;85;83;70;86;81;76;81
Johann  Berg Guðmunds­son;28;152.4;77.1;RM,LM;Iceland;79;13000000.0;70;78;79;77;75;78;79;77;76
Elkeson de Oliveira Cardoso;29;154.94;77.1;ST,CAM;Brazil;79;13000000.0;75;75;76;80;66;77;86;76;77
Enrique García Martínez;29;185.42;78.9;ST;Spain;79;13000000.0;78;72;75;46;49;80;65;66;65
Sergio Escudero Palomo;29;175.26;72.1;LB,LM;Spain;79;10000000.0;56;77;68;69;77;75;72;77;74
Iago Herrerín Buisán;31;187.96;94.8;GK;Spain;79;8000000.0;13;16;19;12;29;12;48;39;49
Víctor Ruíz Torre;30;185.42;78.0;CB;Spain;79;10000000.0;37;71;53;46;70;69;55;59;56
Gary Alexis Medel Soto;31;170.18;64.9;CDM,CB;Chile;79;9500000.0;31;79;63;45;73;71;72;70;78
Younès Belhanda;29;152.4;74.8;CAM,LW;Morocco;79;12500000.0;74;78;84;78;76;83;75;72;85
Hugo Mallo Novegil;27;175.26;72.1;RB;Spain;79;10500000.0;28;71;69;38;68;80;71;71;77
Borja García Freire;28;175.26;72.1;LM,CM;Spain;79;13000000.0;77;82;80;54;80;81;81;77;75
Wahbi Khazri;28;175.26;82.1;ST,CF,CAM,LM;Tunisia;79;13500000.0;79;77;79;79;69;81;75;77;80
Phil Jones;27;185.42;71.2;CB;England;80;12000000.0;44;73;59;35;67;64;54;59;52
Alfreð Finnbogason;30;182.88;79.8;ST;Iceland;79;12500000.0;84;71;75;51;67;75;67;68;67
Vinícius José de Oliveira Júnior;18;175.26;73.0;LW,RW;Brazil;92;20500000.0;70;73;82;62;66;81;92;94;93
Héctor Junior Firpo Adamés;22;182.88;74.8;LWB,LB,CB,LM;Spain;85;12500000.0;66;76;72;43;70;77;83;82;65
Emre Belözoğlu;38;170.18;72.1;CM,CDM;Turkey;79;4000000.0;68;85;78;80;86;81;54;38;68
Fernando José Torres Sanz;34;185.42;78.9;ST;Spain;79;6500000.0;76;77;80;63;51;78;71;77;70
Bastian Schweinsteiger;34;182.88;78.9;CDM,CB,CM;Germany;79;5000000.0;69;82;71;74;83;78;36;37;61
Burak Yılmaz;33;187.96;77.1;ST;Turkey;79;10000000.0;82;66;69;70;60;69;81;79;72
Mario Gómez García;33;187.96;88.9;ST;Germany;79;10000000.0;80;68;71;36;50;71;63;66;62
Ashley Young;33;175.26;64.9;RB,LB;England;79;7000000.0;64;78;77;75;69;78;77;74;76
Ryan Guno Babel;32;185.42;84.8;LW;Netherlands;79;11000000.0;77;71;82;50;66;80;83;82;77
Benoît Costil;31;187.96;88.0;GK;France;79;8000000.0;14;35;13;11;33;12;49;53;38
Salomon Armand Magloire Kalou;33;182.88;77.1;LM,ST,RM;Ivory Coast;79;10000000.0;82;79;87;62;68;86;67;65;76
Ezequiel Iván Lavezzi;33;172.72;74.8;ST,CAM;Argentina;79;8000000.0;80;80;82;79;65;83;85;83;87
Hatem Ben Arfa;32;152.4;73.9;CAM,ST;France;79;11000000.0;70;78;88;73;74;80;77;69;82
Ben Foster;35;193.04;89.8;GK;England;79;3000000.0;18;36;14;17;32;25;50;48;45
Tom Heaton;32;187.96;92.1;GK;England;79;7000000.0;12;32;17;13;37;28;56;55;54
Charles Dias De Oliveira;34;152.4;74.8;ST;Brazil;79;6500000.0;81;69;78;53;52;81;64;63;86
Gary Cahill;33;193.04;88.0;CB;England;79;7000000.0;56;63;56;27;60;60;38;46;49
Alex Iwobi;22;185.42;74.8;LM,RM,LW;Nigeria;84;14000000.0;64;81;84;40;63;84;80;80;78
Ruben Loftus-Cheek;23;190.5;88.0;CM,LM;England;85;14500000.0;65;83;82;57;81;81;68;74;76
Alexandr Selikhov;24;187.96;84.8;GK;Russia;82;9500000.0;14;33;19;15;35;25;33;48;35
Johan Andrés Mojica Palacio;26;185.42;73.0;LWB,LM,LB;Colombia;81;10500000.0;62;78;78;68;70;79;89;90;74
Wílmar Enrique Barrios Terán;25;152.4;71.2;CDM,CM;Colombia;83;;30;78;66;31;65;69;76;71;75
Carlos Roberto Izquierdoz;30;185.42;88.9;CB;Argentina;78;8000000.0;45;66;36;26;57;62;52;50;36
Walter Benítez;26;190.5;91.2;GK;Argentina;82;9500000.0;14;26;15;17;27;14;48;48;43
Nikola Maksimović;27;193.04;87.1;CB;Serbia;81;11000000.0;22;59;49;23;59;61;62;68;49
Aleksandar Mitrović;24;187.96;82.1;ST;Serbia;83;14000000.0;78;70;66;52;43;75;60;66;67
Marco Sportiello;26;193.04;87.1;GK;Italy;80;8500000.0;18;32;19;21;19;22;48;38;55
Ander Capa Rodríguez;26;175.26;74.8;RB;Spain;81;10500000.0;56;73;76;58;56;76;82;86;75
Marcelo Augusto Ferreira Teixeira;31;175.26;68.9;RB,LB;Brazil;78;7500000.0;34;75;77;34;61;76;77;75;77
Youri Tielemans;21;175.26;72.1;CM,CDM;Belgium;87;16000000.0;73;78;76;74;78;81;52;53;67
Stanislav Lobotka;24;170.18;64.0;CM,CDM;Slovakia;84;14000000.0;59;84;77;55;76;82;70;66;78
Maximilian Philipp;25;182.88;78.9;ST,CF,LM,CAM;Germany;83;14000000.0;80;78;84;65;62;82;83;79;83
Léo Dubois;24;152.4;73.0;RB,RWB;France;82;11000000.0;51;79;76;56;77;78;74;76;69
Lewis Dunk;27;193.04;88.0;CB;England;81;11000000.0;37;71;60;39;74;68;38;50;47
Christopher Schindler;28;187.96;77.1;CB;Germany;80;10000000.0;25;68;42;33;64;68;60;65;56
Yevhen Konoplyanka;29;152.4;78.0;LM,LW,ST;Ukraine;78;10500000.0;74;77;82;80;71;81;89;79;83
Pedro Filipe Teodósio Mendes;28;185.42;78.0;CB;Portugal;80;10000000.0;25;66;62;52;64;63;66;64;55
Riccardo Saponara;27;182.88;73.0;CAM;Italy;78;11000000.0;64;80;83;70;74;85;69;75;72
Layvin Kurzawa;26;182.88;76.2;LB,LWB;France;81;10500000.0;73;80;76;53;72;80;79;74;75
Martin Hinteregger;26;182.88;83.0;CB;Austria;80;10500000.0;48;63;55;63;81;62;63;73;62
Danny  Vieira da Costa;25;187.96;88.0;RWB,RB,RM;Germany;80;10500000.0;39;75;73;49;70;74;77;84;68
Fernando Lucas Martins;27;175.26;79.8;CDM,CM;Brazil;80;10500000.0;63;81;70;84;82;76;70;76;74
Willy Boly;28;195.57999999999998;97.1;CB;France;80;10000000.0;32;71;53;35;60;62;57;69;55
Alexander Schwolow;26;187.96;83.9;GK;Germany;79;8500000.0;12;26;15;16;23;22;36;38;40
Gregoire Defrel;27;152.4;77.1;ST,RW;France;78;11000000.0;79;67;83;69;60;82;88;87;82
Álvaro González Soberón;29;182.88;74.8;CB;Spain;79;9500000.0;22;69;48;45;57;67;72;73;68
Leonardo Bittencourt;25;170.18;62.1;CAM,CM,LM;Germany;81;13000000.0;65;79;84;70;72;80;90;79;92
